id;settlement_id;settlement_ulid_id;settlement_ref_no;accepted_offer_ulid_id;placed_offer_ulid_id;req_off_ulid_id;dbmt_request_id;dbmt_id;dbmt_date;dbmt_status;dbmt_amount;currency;record_status
1;12832;community of;bouquet;arctic ramen;telescope annually;nor via;32199;2283;out traverse;step-father kindheartedly;8555;quizzically feel brawl;shake after till
2;706;till underneath equal;stealthily oh conformation;verbally;slippery;ouch;6665;23636;futon an;surcharge memorable;20564;basic quaintly;telephone ha outside
3;10969;hm;gadzooks camera;substitute;provided as;past;4530;29217;zowie now;overbalance between;12005;equal;and if
4;21501;catalogue uh-huh speedy;high-level;as;tan likewise towards;ugh;16453;24016;tan custom;ew bashfully buzzing;1026;deep fairly;whenever
5;16824;ack;electrocute;complement chillax over;flowery;ick explanation handicap;23672;7852;calculating;icy mmm if;885;oil incidentally yowza;solidly apud instead
6;28138;uh-huh inside;bitterly identify;whose skunk quizzically;absence gadzooks than;inquisitively;27249;16661;bravely ignorant dip;demonstrate gee;13256;yahoo gosh even;smoothly
7;9997;grimace how unexpectedly;pith midst;against;keenly cartoon;times;27317;31918;mockingly why;excepting rectangular;29195;sail on;furthermore
8;31107;blah on;whoever frayed futon;fortunately;realign carburize;whoever mill over;32494;19897;grave;yahoo or;30525;lively salmon;deliberately ha
9;18401;only;indeed;hmph;amid till sitar;sponsor;20087;6987;openly beneath brain;levy by;6579;bite-sized;flamboyant
10;30181;general however pish;warm-up gee apud;provided incomparable;greatly so while;cram;20169;22003;melodic;absent past;1412;ornery gadzooks;quizzically while
