id;assessment_id;assessment_ulid_id;credit_score;final_verdict;cre_request_id;timestamp;trade_partner_gst;trade_partner_id;invoice_amount;invoice_id;base_score;ctin;inv_date;cb_process_id;grn_present;einvoice_present;eway_bill_present;trade_partner_confirmation
1;13303;far gynaecology;23520.56;oh;gracious;empower paint;madly;before;2365;alligator limit inspect;pro institutionalize in;underwire barren punctually;eek an adorn;21336;true;true;true;false
2;4905;psst oddly assured;6945.35;truck duh speedily;how gadzooks;sideline;whoa;polyester;8913;woot phew;that;jostle finally ugh;on;27757;true;false;true;false
3;16323;indeed sandbag;26538.39;nor psst aggravating;livid offensive saddle;above where;blah ouch rehearse;zowie till;2310;ugh;for;since icicle after;sleep development pace;29803;false;false;true;true
4;27489;overstretch ah;15311.89;instigate wire aromatic;after unnecessarily that;among;allude which excepting;consequently;2696;circa shyly;for webbed against;besides fooey;excluding waterfront;19233;false;false;false;true
5;12450;ack ick;6022.96;lap;well-documented yoga;blah sledge truly;yuck ignorant woot;consignment about;29684;gosh;shackle entangle delightfully;excluding yum doubtfully;spritz blah;30616;true;true;true;false
6;22919;given troubled;23559.81;including;worth;meanwhile;till;but who fondly;9966;nearly;remodel;gah zany ref;shatter markup;2933;true;true;true;false
7;32388;activation offend vouch;19020.07;seriously in;judicious;roll times barring;antecedent threadbare;mid yowza ugh;4944;ah mRNA rough;adored although prize;scramble;oh tragedy loudly;10700;false;true;false;false
8;32753;frigid;23409.38;and;pin stone;misrepresent;unethically closely;ick gosh;7730;meanwhile yowza;frugal loathsome;ick incredible write;hence until who;3159;false;true;true;false
9;11939;vapid before sup;14481.54;limp ouch phooey;who;sans what;whistle knife-edge;via across blah;11260;yet;wobbly brr insignificant;eek apud yippee;youthfully yowza;18655;true;true;false;true
10;13772;uh-huh while;3296.41;consequently rude;shrimp by;of clunk;um;safety ha blurt;15988;lantern;bah bitterly;chief;solidity;15313;true;false;false;false
