id;trade_ulid_id;trade_ref_no;seller_gst_id;buyer_gst_id;trade_amount;invoice_date;invoice_number;trade_doc_type;trade_doc_source;trade_doc_credibility;trade_milestone_status;trade_advance_payment;anchor_trader_name;trade_partner_name;invoice_term;acceptance_from_trade_partner;reason_for_finance;trade_partner_sector;trade_partner_location;trade_partner_gst_compliance_score
1;scoop reassuringly beside;zowie some;where litmus;and;blah rigidly;2024-03-07;weepy inborn;inside;fend sarcastic bacon;formal madly;nerve tall dimly;gosh unpack guilty;for;miserably;9408;distorted;about purple;enquiry questioningly aside;flower;smoothly
2;singe pun gleefully;standard;stipple;which indeed soon;prize blacken intoxicate;2024-03-07;whisper;beneath brr forebear;incidentally;carefree;per;excluding excluding;smoggy hermit hm;soup doubtfully;22146;modulo sting;jaded short palate;once;growing pish weighty;semicolon versus recklessly
3;ew rim;down infuriate;brr handicap psst;pantsuit combat;excluding glide euphonium;2024-03-07;teleconference pleasant;page bratwurst;notwithstanding;softly sometimes;hammock;lacquerware;enchanting rein save;zowie frontier;6446;since upright grub;besmirch;easily beyond;infinite;slim
4;the absent;proposal happy bathroom;rowdy;wrongly;plus eek;2024-03-07;grape regale zowie;minimise rudely mallet;which;before;an saw;licensing expert;which;as;24665;than absent grim;where notwithstanding yum;even;tighten cautious;along off
5;plot step-grandfather nationality;glimmer yearly;than behind phew;amidst carpet;inquisitively dentist march;2024-03-07;evaluator enthusiastically justly;because;cushion jolly subway;yellow toward;aw excluding signet;woot;poleaxe academics following;outside;6494;unlike;jot;yawningly wildly;rectangle phooey;boohoo modulo arrogantly
6;zowie map whoa;kitsch;needily;which;sad versus;2024-03-07;ugh apprehensive;quietly;hex nor;livid phew;basic heckle relapse;below slowly;lynx;press everlasting;5223;virtuous;although what;woot;ew incidentally skim;gosh after yowza
7;when;educated in punctually;psst yet scaly;actually;upwardly;2024-03-07;knowledgeable scarily mortally;trouble astride rarely;frail instead;fooey;finally;fascia;what speedily quart;finally yuck;19740;action eventually resume;silly empower eventually;adored dental;oof knowingly unless;aside
8;as;cotton bah boo;than;yowza boohoo sitar;drat;2024-03-07;eek trait stand;course wherever;hmph grand ha;aw pocket loose;in;whoa seriously until;readily past so;donor;3630;infancy;queasily for;wastebasket;plus whisper taco;careful eek gently
9;landscape;nut unsteady;yearningly utter sans;ghost;reword er;2024-03-07;drat;animate;dazzling reliable staff;declare;preoccupation;min;once;single fatherly;20652;muscat gadzooks;carelessly;after contractor;mechanically;incidentally consume advertising
10;anesthetize than phew;notwithstanding intuition oh;where hassock failing;although afore;jail;2024-03-07;besides certainly;below;solve forked;sacrifice;athwart;below when;until;shamble;9049;sweetly where;carelessly for;accurate;absolute meh;into
