id;finance_request_id;finance_request_ulid_id;finance_request_ref_no;trade_channel_id;request_amount;request_date;currency;request_status;due_date;gst_consent
1;13108;yet aha dimly;from abnormally positively;nor separately;fancy instantly mindless;2024-03-14;truthful sewer numb;neighbourhood coolly amid;2024-03-14;true
2;2295;mull;recommence hypothesize;amidst;yahoo impostor bay;2024-03-14;zowie oof honestly;professional;2024-03-14;true
3;5488;accomplished boohoo;scarf pong huzzah;cosset ack;trumpet chief;2024-03-14;afore;stealthily whether fuzzy;2024-03-14;false
4;10316;outrigger;uh-huh even quintessential;apt oof frantically;so below fortunately;2024-03-15;gee assay;till blah file;2024-03-14;true
5;16802;duh nor sheepishly;ack furthermore;afore mmm;thyme opine;2024-03-15;concerning the why;blah special;2024-03-15;false
6;28957;wholly colorfully;pristine bumper;upright incidentally embitter;joyously amidst gallery;2024-03-15;aw distribute mangle;fulminate pole;2024-03-15;false
7;3646;ack quickly when;watchmaker against;bikini clogs;haunting never gadzooks;2024-03-15;honesty splendid patriarch;squish which aha;2024-03-14;false
8;30951;very whereas;wherever fully sculpt;always from sally;like fooey fanny-pack;2024-03-14;arrogantly restroom bah;oof abnormally;2024-03-15;false
9;2144;student huzzah gosh;righteously dolphin;envelope um deride;uh-huh;2024-03-15;before sit what;whoa fondly curve;2024-03-15;false
10;4814;spinach towards when;throughout;selfish ill-fated efface;concerning;2024-03-15;consequently annual against;banyan aha;2024-03-14;true
